"macro_code","macro_name_sil","member_code","member_status","in_linguameta","member_name_linguameta","member_name_sil","member_endonym","member_n_speakers","member_endangerment","member_glottocode","names_differ"
"kon","Kongo","kng","A",TRUE,"Koongo","Koongo",NA,5e+06,"Not endangered","koon1244",FALSE
"kon","Kongo","kwy","A",TRUE,"San Salvador Kongo","San Salvador Kongo",NA,NA,"Not endangered","sans1272",FALSE
"kon","Kongo","ldi","A",TRUE,"Laari","Laari",NA,NA,"Not endangered","laar1238",FALSE
"kpe","Kpelle","gkp","A",TRUE,"Guinea Kpelle","Guinea Kpelle","Kpɛlɛɛ",460000,"Not endangered","guin1254",FALSE
"kpe","Kpelle","xpe","A",TRUE,"Liberia Kpelle","Liberia Kpelle","Kpɛlɛɛ",760000,"Not endangered","libe1247",FALSE
"kur","Kurdish","ckb","A",TRUE,"Sorani Kurdish","Central Kurdish","سۆرانی",11100000,"Not endangered","cent1972",TRUE
"kur","Kurdish","kmr","A",TRUE,"Northern Kurdish","Northern Kurdish",NA,NA,"Not endangered","nort2641",FALSE
"kur","Kurdish","sdh","A",TRUE,"Southern Kurdish","Southern Kurdish","کوردی خوارین",3100000,"Not endangered","sout2640",FALSE
"lah","Lahnda","hnd","A",TRUE,"Southern Hindko","Southern Hindko","ہندکو",960000,"Not endangered","sout2668",FALSE
"lah","Lahnda","hno","A",TRUE,"Northern Hindko","Northern Hindko","Hindko",4e+06,"Not endangered","nort2662",FALSE
"lah","Lahnda","jat","A",TRUE,"Jakati","Jakati",NA,7000,NA,"jaka1245",FALSE
"lah","Lahnda","phr","A",TRUE,"Pahari-Potwari","Pahari-Potwari","پوٹھواری",2500000,"Not endangered","paha1251",FALSE
"lah","Lahnda","pmu","R",FALSE,NA,"Mirpur Panjabi",NA,NA,NA,NA,NA
"lah","Lahnda","pnb","A",TRUE,"Western Panjabi","Western Panjabi","شاہ مُکھی",1.13e+08,"Not endangered","west2386",FALSE
"lah","Lahnda","skr","A",TRUE,"Saraiki","Saraiki","سرائیکی",2.8e+07,"Not endangered","sera1259",FALSE
"lah","Lahnda","xhe","A",TRUE,"Khetrani","Khetrani",NA,1e+05,"Not endangered","khet1238",FALSE
"lav","Latvian","ltg","A",TRUE,"Latgalian","Latgalian","Latgalīšu",170000,"Not endangered","east2282",FALSE
"lav","Latvian","lvs","A",TRUE,"Standard Latvian","Standard Latvian","Стандард Латвиан",1,"Not endangered","stan1325",FALSE
"luy","Luyia","bxk","A",TRUE,"Bukusu","Bukusu","Lubukusu",1400000,"Not endangered","buku1249",FALSE
"luy","Luyia","ida","A",TRUE,"Idakho-Isukha-Tiriki","Idakho-Isukha-Tiriki","Luidakho",6e+05,"Not endangered","idak1243",FALSE
"luy","Luyia","lkb","A",TRUE,"Kabras","Kabras","LuKabarasi",250000,"Not endangered","kabr1240",FALSE
"luy","Luyia","lko","A",TRUE,"Khayo","Khayo",NA,120000,"Not endangered","khay1238",FALSE
"luy","Luyia","lks","A",TRUE,"Kisa","Kisa",NA,140000,"Not endangered","kisa1263",FALSE
