"municipality","department","muni_anexo","file","size_kb","id_muni","qid","muni_gadm","commons_filename","commons_url","mid","upload_date","status"
"San Pedro de Curahuara","La Paz","San Pedro de Curahuara","output/locator_maps/muni-maps-final/San_Pedro_de_Curahuara_muni_locator_map.svg",2837.4,"021801","Q1544586","San Pedro de Curahuara","San Pedro de Curahuara muni locator map.svg","https://commons.wikimedia.org/wiki/File:San_Pedro_de_Curahuara_muni_locator_map.svg","M192030962","2026-05-15","uploaded"
"San Pedro de Tiquina","La Paz","San Pedro de Tiquina","output/locator_maps/muni-maps-final/San_Pedro_de_Tiquina_muni_locator_map.svg",2837.4,"021702","Q1819398","San Pedro de Tiquina","San Pedro de Tiquina muni locator map.svg","https://commons.wikimedia.org/wiki/File:San_Pedro_de_Tiquina_muni_locator_map.svg","M192030970","2026-05-15","uploaded"
"Callapa","La Paz","Callapa","output/locator_maps/muni-maps-final/Callapa_muni_locator_map.svg",2837.4,"020308","Q741915","Santiago de Callapa","Callapa muni locator map.svg","https://commons.wikimedia.org/wiki/File:Callapa_muni_locator_map.svg","M192030981","2026-05-15","uploaded"
"Santiago de Huata","La Paz","Santiago de Huata","output/locator_maps/muni-maps-final/Santiago_de_Huata_muni_locator_map.svg",2837.4,"020205","Q1953187","Santiago de Huata","Santiago de Huata muni locator map.svg","https://commons.wikimedia.org/wiki/File:Santiago_de_Huata_muni_locator_map.svg","M192030995","2026-05-15","uploaded"
"Santiago de Machaca","La Paz","Santiago de Machaca","output/locator_maps/muni-maps-final/Santiago_de_Machaca_muni_locator_map.svg",2837.4,"021901","Q1544546","Santiago de Machaca","Santiago de Machaca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Santiago_de_Machaca_muni_locator_map.svg","M192031006","2026-05-15","uploaded"
"Sapahaqui","La Paz","Sapahaqui","output/locator_maps/muni-maps-final/Sapahaqui_muni_locator_map.svg",2837.4,"020902","Q491527","Sapahaqui","Sapahaqui muni locator map.svg","https://commons.wikimedia.org/wiki/File:Sapahaqui_muni_locator_map.svg","M192031021","2026-05-15","uploaded"
"Sica Sica","La Paz","Sica Sica","output/locator_maps/muni-maps-final/Sica_Sica_muni_locator_map.svg",2837.4,"021301","Q491501","Sicasica","Sica Sica muni locator map.svg","https://commons.wikimedia.org/wiki/File:Sica_Sica_muni_locator_map.svg","M192031037","2026-05-15","uploaded"
"Sorata","La Paz","Sorata","output/locator_maps/muni-maps-final/Sorata_muni_locator_map.svg",2837.4,"020601","Q1860758","Sorata","Sorata muni locator map.svg","https://commons.wikimedia.org/wiki/File:Sorata_muni_locator_map.svg","M192031045","2026-05-15","uploaded"
"Tacacoma","La Paz","Tacacoma","output/locator_maps/muni-maps-final/Tacacoma_muni_locator_map.svg",2837.4,"020603","Q1860830","Tacacoma","Tacacoma muni locator map.svg","https://commons.wikimedia.org/wiki/File:Tacacoma_muni_locator_map.svg","M192031053","2026-05-15","uploaded"
"Taraco","La Paz","Taraco","output/locator_maps/muni-maps-final/Taraco_muni_locator_map.svg",2837.4,"020807","Q1544565","Taraco","Taraco muni locator map.svg","https://commons.wikimedia.org/wiki/File:Taraco_muni_locator_map.svg","M192031057","2026-05-15","uploaded"
