"municipality","department","muni_anexo","file","size_kb"
"Calamarca","La Paz","Calamarca","output/locator_maps/muni-maps-final/Calamarca_muni_locator_map.svg",2837.4
"Caquiaviri","La Paz","Caquiaviri","output/locator_maps/muni-maps-final/Caquiaviri_muni_locator_map.svg",2837.4
"Caranavi","La Paz","Caranavi","output/locator_maps/muni-maps-final/Caranavi_muni_locator_map.svg",2837.4
"Catacora","La Paz","Catacora","output/locator_maps/muni-maps-final/Catacora_muni_locator_map.svg",2837.4
"Chacarilla","La Paz","Chacarilla","output/locator_maps/muni-maps-final/Chacarilla_muni_locator_map.svg",2837.4
"Charazani","La Paz","Charazani","output/locator_maps/muni-maps-final/Charazani_muni_locator_map.svg",2837.4
"Charaña","La Paz","Charaña","output/locator_maps/muni-maps-final/Charana_muni_locator_map.svg",2837.4
"Chua Cocani","La Paz","Chua Cocani","output/locator_maps/muni-maps-final/Chua_Cocani_muni_locator_map.svg",2837.4
"Chulumani","La Paz","Chulumani","output/locator_maps/muni-maps-final/Chulumani_muni_locator_map.svg",2837.4
"Chuma","La Paz","Chuma","output/locator_maps/muni-maps-final/Chuma_muni_locator_map.svg",2837.4
"Collana","La Paz","Collana","output/locator_maps/muni-maps-final/Collana_muni_locator_map.svg",2837.4
"Colquencha","La Paz","Colquencha","output/locator_maps/muni-maps-final/Colquencha_muni_locator_map.svg",2837.4
"Colquiri","La Paz","Colquiri","output/locator_maps/muni-maps-final/Colquiri_muni_locator_map.svg",2837.4
"Comanche","La Paz","Comanche","output/locator_maps/muni-maps-final/Comanche_muni_locator_map.svg",2837.4
"Combaya","La Paz","Combaya","output/locator_maps/muni-maps-final/Combaya_muni_locator_map.svg",2837.4
"Copacabana","La Paz","Copacabana","output/locator_maps/muni-maps-final/Copacabana_muni_locator_map.svg",2837.4
"Coripata","La Paz","Coripata","output/locator_maps/muni-maps-final/Coripata_muni_locator_map.svg",2837.4
"Corocoro","La Paz","Coro Coro","output/locator_maps/muni-maps-final/Coro_Coro_muni_locator_map.svg",2837.4
"Coroico","La Paz","Coroico","output/locator_maps/muni-maps-final/Coroico_muni_locator_map.svg",2837.4
"Curva","La Paz","Curva","output/locator_maps/muni-maps-final/Curva_muni_locator_map.svg",2837.4
"Desaguadero","La Paz","Desaguadero","output/locator_maps/muni-maps-final/Desaguadero_muni_locator_map.svg",2837.4
"El Alto","La Paz","El Alto","output/locator_maps/muni-maps-final/El_Alto_muni_locator_map.svg",2837.4
"Escoma","La Paz","Escoma","output/locator_maps/muni-maps-final/Escoma_muni_locator_map.svg",2837.4
"Guanay","La Paz","Guanay","output/locator_maps/muni-maps-final/Guanay_muni_locator_map.svg",2837.4
"Huarina","La Paz","Huarina","output/locator_maps/muni-maps-final/Huarina_muni_locator_map.svg",2837.4
"Huatajata","La Paz","Huatajata","output/locator_maps/muni-maps-final/Huatajata_muni_locator_map.svg",2837.4
"Humanata","La Paz","Humanata","output/locator_maps/muni-maps-final/Humanata_muni_locator_map.svg",2837.4
"Ichoca","La Paz","Ichoca","output/locator_maps/muni-maps-final/Ichoca_muni_locator_map.svg",2837.4
"Inquisivi","La Paz","Inquisivi","output/locator_maps/muni-maps-final/Inquisivi_muni_locator_map.svg",2837.4
"Irupana","La Paz","Irupana","output/locator_maps/muni-maps-final/Irupana_muni_locator_map.svg",2837.4
"Ixiamas","La Paz","Ixiamas","output/locator_maps/muni-maps-final/Ixiamas_muni_locator_map.svg",2837.4
"Jesús de Machaka","La Paz","Jesús de Machaca","output/locator_maps/muni-maps-final/Jesus_de_Machaca_muni_locator_map.svg",2837.4
"La (Marka) San Andrés de Machaca","La Paz","San Andrés de Machaca","output/locator_maps/muni-maps-final/San_Andres_de_Machaca_muni_locator_map.svg",2837.4
"La Asunta","La Paz","La Asunta","output/locator_maps/muni-maps-final/La_Asunta_muni_locator_map.svg",2837.4
"Laja","La Paz","Laja","output/locator_maps/muni-maps-final/Laja_muni_locator_map.svg",2837.4
"Luribay","La Paz","Luribay","output/locator_maps/muni-maps-final/Luribay_muni_locator_map.svg",2837.4
"Malla","La Paz","Malla","output/locator_maps/muni-maps-final/Malla_muni_locator_map.svg",2837.4
"Mapiri","La Paz","Mapiri","output/locator_maps/muni-maps-final/Mapiri_muni_locator_map.svg",2837.4
"Mecapaca","La Paz","Mecapaca","output/locator_maps/muni-maps-final/Mecapaca_muni_locator_map.svg",2837.4
"Mocomoco","La Paz","Mocomoco","output/locator_maps/muni-maps-final/Mocomoco_muni_locator_map.svg",2837.4
"Nazacara de Pacajes","La Paz","Nazacara de Pacajes","output/locator_maps/muni-maps-final/Nazacara_de_Pacajes_muni_locator_map.svg",2837.4
"Nuestra Señora de La Paz","La Paz","La Paz","output/locator_maps/muni-maps-final/La_Paz_muni_locator_map.svg",2837.4
"Palca","La Paz","Palca","output/locator_maps/muni-maps-final/Palca_muni_locator_map.svg",2837.4
"Palos Blancos","La Paz","Palos Blancos","output/locator_maps/muni-maps-final/Palos_Blancos_muni_locator_map.svg",2837.4
"Papel Pampa","La Paz","Papel Pampa","output/locator_maps/muni-maps-final/Papel_Pampa_muni_locator_map.svg",2837.4
"Patacamaya","La Paz","Patacamaya","output/locator_maps/muni-maps-final/Patacamaya_muni_locator_map.svg",2837.4
"Pelechuco","La Paz","Pelechuco","output/locator_maps/muni-maps-final/Pelechuco_muni_locator_map.svg",2837.4
"Pucarani","La Paz","Pucarani","output/locator_maps/muni-maps-final/Pucarani_muni_locator_map.svg",2837.4
"Puerto Acosta","La Paz","Puerto Acosta","output/locator_maps/muni-maps-final/Puerto_Acosta_muni_locator_map.svg",2837.4
"Puerto Mayor de Carabuco","La Paz","Puerto Carabuco","output/locator_maps/muni-maps-final/Puerto_Carabuco_muni_locator_map.svg",2837.4
"Puerto Mayor de Guaqui","La Paz","Guaqui","output/locator_maps/muni-maps-final/Guaqui_muni_locator_map.svg",2837.4
"Puerto Pérez","La Paz","Puerto Pérez","output/locator_maps/muni-maps-final/Puerto_Perez_muni_locator_map.svg",2837.4
"Quiabaya","La Paz","Quiabaya","output/locator_maps/muni-maps-final/Quiabaya_muni_locator_map.svg",2837.4
"Quime","La Paz","Quime","output/locator_maps/muni-maps-final/Quime_muni_locator_map.svg",2837.4
"San Buenaventura","La Paz","San Buenaventura","output/locator_maps/muni-maps-final/San_Buenaventura_muni_locator_map.svg",2837.4
"San Pedro de Curahuara","La Paz","San Pedro de Curahuara","output/locator_maps/muni-maps-final/San_Pedro_de_Curahuara_muni_locator_map.svg",2837.4
"San Pedro de Tiquina","La Paz","San Pedro de Tiquina","output/locator_maps/muni-maps-final/San_Pedro_de_Tiquina_muni_locator_map.svg",2837.4
"Santiago de Callapa","La Paz","Callapa","output/locator_maps/muni-maps-final/Callapa_muni_locator_map.svg",2837.4
"Santiago de Huata","La Paz","Santiago de Huata","output/locator_maps/muni-maps-final/Santiago_de_Huata_muni_locator_map.svg",2837.4
"Santiago de Machaca","La Paz","Santiago de Machaca","output/locator_maps/muni-maps-final/Santiago_de_Machaca_muni_locator_map.svg",2837.4
"Sapahaqui","La Paz","Sapahaqui","output/locator_maps/muni-maps-final/Sapahaqui_muni_locator_map.svg",2837.4
"Sicasica","La Paz","Sica Sica","output/locator_maps/muni-maps-final/Sica_Sica_muni_locator_map.svg",2837.4
"Sorata","La Paz","Sorata","output/locator_maps/muni-maps-final/Sorata_muni_locator_map.svg",2837.4
"Tacacoma","La Paz","Tacacoma","output/locator_maps/muni-maps-final/Tacacoma_muni_locator_map.svg",2837.4
"Taraco","La Paz","Taraco","output/locator_maps/muni-maps-final/Taraco_muni_locator_map.svg",2837.4
"Teoponte","La Paz","Teoponte","output/locator_maps/muni-maps-final/Teoponte_muni_locator_map.svg",2837.4
"Tiahuanacu","La Paz","Tiahuanaco","output/locator_maps/muni-maps-final/Tiahuanaco_muni_locator_map.svg",2837.4
"Tipuani","La Paz","Tipuani","output/locator_maps/muni-maps-final/Tipuani_muni_locator_map.svg",2837.4
"Tito Yupanqui","La Paz","Tito Yupanqui","output/locator_maps/muni-maps-final/Tito_Yupanqui_muni_locator_map.svg",2837.4
"Umala","La Paz","Umala","output/locator_maps/muni-maps-final/Umala_muni_locator_map.svg",2837.4
"Viacha","La Paz","Viacha","output/locator_maps/muni-maps-final/Viacha_muni_locator_map.svg",2837.4
"Villa Ancoraimes","La Paz","Ancoraimes","output/locator_maps/muni-maps-final/Ancoraimes_muni_locator_map.svg",2837.4
"Villa Libertad Licoma","La Paz","Licoma Pampa","output/locator_maps/muni-maps-final/Licoma_Pampa_muni_locator_map.svg",2837.4
"Waldo Ballivian","La Paz","Waldo Ballivián","output/locator_maps/muni-maps-final/Waldo_Ballivian_muni_locator_map.svg",2837.4
"Yaco","La Paz","Yaco","output/locator_maps/muni-maps-final/Yaco_muni_locator_map.svg",2837.4
"Yanacachi","La Paz","Yanacachi","output/locator_maps/muni-maps-final/Yanacachi_muni_locator_map.svg",2837.4
"Andamarca","Oruro","Santiago de Andamarca","output/locator_maps/muni-maps-final/Santiago_de_Andamarca_muni_locator_map.svg",2837.4
"Antequera","Oruro","Antequera","output/locator_maps/muni-maps-final/Antequera_muni_locator_map.svg",2837.4
"Belén de Andamarca","Oruro","Belén de Andamarca","output/locator_maps/muni-maps-final/Belen_de_Andamarca_muni_locator_map.svg",2837.4
"Caracollo","Oruro","Caracollo","output/locator_maps/muni-maps-final/Caracollo_muni_locator_map.svg",2837.4
"Carangas","Oruro","Carangas","output/locator_maps/muni-maps-final/Carangas_muni_locator_map.svg",2837.4
"Challapata","Oruro","Challapata","output/locator_maps/muni-maps-final/Challapata_muni_locator_map.svg",2837.4
"Chipaya","Oruro","Chipaya","output/locator_maps/muni-maps-final/Chipaya_muni_locator_map.svg",2837.4
"Choquecota","Oruro","Choquecota","output/locator_maps/muni-maps-final/Choquecota_muni_locator_map.svg",2837.4
"Coipasa","Oruro","Coipasa","output/locator_maps/muni-maps-final/Coipasa_muni_locator_map.svg",2837.4
"Corque","Oruro","Corque","output/locator_maps/muni-maps-final/Corque_muni_locator_map.svg",2837.4
"Cruz de Machacamarca","Oruro","Cruz de Machacamarca","output/locator_maps/muni-maps-final/Cruz_de_Machacamarca_muni_locator_map.svg",2837.4
"Curahuara de Carangas","Oruro","Curahuara de Carangas","output/locator_maps/muni-maps-final/Curahuara_de_Carangas_muni_locator_map.svg",2837.4
"El Choro","Oruro","El Choro","output/locator_maps/muni-maps-final/El_Choro_muni_locator_map.svg",2837.4
"Escara","Oruro","Escara","output/locator_maps/muni-maps-final/Escara_muni_locator_map.svg",2837.4
"Esmeralda","Oruro","Esmeralda","output/locator_maps/muni-maps-final/Esmeralda_muni_locator_map.svg",2837.4
"Eucaliptus","Oruro","Eucaliptus","output/locator_maps/muni-maps-final/Eucaliptus_muni_locator_map.svg",2837.4
"Huachacalla","Oruro","Huachacalla","output/locator_maps/muni-maps-final/Huachacalla_muni_locator_map.svg",2837.4
"Huanuni","Oruro","Huanuni","output/locator_maps/muni-maps-final/Huanuni_muni_locator_map.svg",2837.4
"Huayllamarca","Oruro","Huayllamarca","output/locator_maps/muni-maps-final/Huayllamarca_muni_locator_map.svg",2837.4
"La Rivera","Oruro","La Rivera","output/locator_maps/muni-maps-final/La_Rivera_muni_locator_map.svg",2837.4
"Machacamarca","Oruro","Machacamarca","output/locator_maps/muni-maps-final/Machacamarca_muni_locator_map.svg",2837.4
"Oruro","Oruro","Oruro","output/locator_maps/muni-maps-final/Oruro_muni_locator_map.svg",2837.4
"Pampa Aullagas","Oruro","Pampa Aullagas","output/locator_maps/muni-maps-final/Pampa_Aullagas_muni_locator_map.svg",2837.4
"Paria","Oruro","Paria","output/locator_maps/muni-maps-final/Paria_muni_locator_map.svg",2837.4
"Pazña","Oruro","Pazña","output/locator_maps/muni-maps-final/Pazna_muni_locator_map.svg",2837.4
"Poopó","Oruro","Poopó","output/locator_maps/muni-maps-final/Poopo_muni_locator_map.svg",2837.4
"Sabaya","Oruro","Sabaya","output/locator_maps/muni-maps-final/Sabaya_muni_locator_map.svg",2837.4
"Salinas de Garcí Mendoza","Oruro","Salinas de Garci Mendoza","output/locator_maps/muni-maps-final/Salinas_de_Garci_Mendoza_muni_locator_map.svg",2837.4
"Santiago de Huari","Oruro","Santiago de Huari","output/locator_maps/muni-maps-final/Santiago_de_Huari_muni_locator_map.svg",2837.4
"Santuario de Quillacas","Oruro","Quillacas","output/locator_maps/muni-maps-final/Quillacas_muni_locator_map.svg",2837.4
"Todos Santos","Oruro","Todos Santos","output/locator_maps/muni-maps-final/Todos_Santos_muni_locator_map.svg",2837.4
"Toledo","Oruro","Toledo","output/locator_maps/muni-maps-final/Toledo_muni_locator_map.svg",2837.4
"Totora","Oruro","Totora","output/locator_maps/muni-maps-final/Totora_(Oruro)_muni_locator_map.svg",2837.4
"Turco","Oruro","Turco","output/locator_maps/muni-maps-final/Turco_muni_locator_map.svg",2837.4
"Yunguyo del Litoral","Oruro","Yunguyo de Litoral","output/locator_maps/muni-maps-final/Yunguyo_de_Litoral_muni_locator_map.svg",2837.4
"Bella Flor","Pando","Bella Flor","output/locator_maps/muni-maps-final/Bella_Flor_muni_locator_map.svg",2837.4
"Bolpebra","Pando","Bolpebra","output/locator_maps/muni-maps-final/Bolpebra_muni_locator_map.svg",2837.4
"Cobija","Pando","Cobija","output/locator_maps/muni-maps-final/Cobija_muni_locator_map.svg",2837.4
"Filadelfia","Pando","Filadelfia","output/locator_maps/muni-maps-final/Filadelfia_muni_locator_map.svg",2837.4
"Ingavi","Pando","Ingavi","output/locator_maps/muni-maps-final/Ingavi_muni_locator_map.svg",2837.4
"Nueva Esperanza","Pando","Nueva Esperanza","output/locator_maps/muni-maps-final/Nueva_Esperanza_muni_locator_map.svg",2837.4
"Porvenir","Pando","Porvenir","output/locator_maps/muni-maps-final/Porvenir_muni_locator_map.svg",2837.4
"Puerto Gonzalo Moreno","Pando","Puerto Gonzalo Moreno","output/locator_maps/muni-maps-final/Puerto_Gonzalo_Moreno_muni_locator_map.svg",2837.4
"Puerto Rico","Pando","Puerto Rico","output/locator_maps/muni-maps-final/Puerto_Rico_muni_locator_map.svg",2837.4
"San Lorenzo","Pando","San Lorenzo","output/locator_maps/muni-maps-final/San_Lorenzo_(Pando)_muni_locator_map.svg",2837.4
"San Pedro","Pando","San Pedro","output/locator_maps/muni-maps-final/San_Pedro_(Pando)_muni_locator_map.svg",2837.4
"Santa Rosa","Pando","Santa Rosa del Abuná","output/locator_maps/muni-maps-final/Santa_Rosa_del_Abuna_muni_locator_map.svg",2837.4
"Santos Mercado","Pando","Santos Mercado","output/locator_maps/muni-maps-final/Santos_Mercado_muni_locator_map.svg",2837.4
"Sena","Pando","Sena","output/locator_maps/muni-maps-final/Sena_muni_locator_map.svg",2837.4
"Villa Nueva","Pando","Villa Nueva","output/locator_maps/muni-maps-final/Villa_Nueva_muni_locator_map.svg",2837.4
"Acasio","Potosí","Acasio","output/locator_maps/muni-maps-final/Acasio_muni_locator_map.svg",2837.4
"Arampampa","Potosí","Arampampa","output/locator_maps/muni-maps-final/Arampampa_muni_locator_map.svg",2837.4
