NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORBONNY ALBERTO TITO CARI|ALCALDE (SA)|undefined|undefined|ELECTO
PEDRO FLORES  CRUZ|ALCALDE (SA)|undefined|undefined|ELECTO
GARY VERNER  VON BOECK GOMEZ|ALCALDE (SA)|undefined|undefined|ELECTO
PAULINA PEREZ TOLA|ALCALDE (SA)|undefined|undefined|ELECTO
EPIFANIO TARAÑO CUISARA|ALCALDE (SA)|undefined|undefined|ELECTO
ELISEO JUCHATOMA ESPINOZA|ALCALDE (SA)|undefined|undefined|ELECTO
HERNAN JESUS COLQUE MENDOZA|ALCALDE (SA)|undefined|undefined|ELECTO
RUBEN ZENOBIO LEON FLORES|ALCALDE (SA)|undefined|undefined|ELECTO
MARCELINO FLORES CHOQUE|ALCALDE (SA)|undefined|undefined|ELECTO
AGUSTIN IRASABAL CAISENA|ALCALDE (SA)|undefined|undefined|ELECTO
JULIO ARTURO CABA QUICHO|ALCALDE (SA)|undefined|undefined|ELECTO
GABRIELA  JIMENEZ  VACA|ALCALDE (SA)|undefined|undefined|ELECTO
EUSEBIO LOPEZ MARTINEZ|ALCALDE (SA)|undefined|undefined|ELECTO
JAIME  AGUIRRE DAN|ALCALDE (SA)|undefined|undefined|ELECTO
JUVENAL CHOQUE RAMIREZ|ALCALDE (SA)|undefined|undefined|ELECTO
WALTER MAMANI SANCHEZ|ALCALDE (SA)|undefined|undefined|ELECTO
ABNER  BELTRAN  FERNANDEZ|ALCALDE (SA)|undefined|undefined|ELECTO
ALBERTO GALLARDO MARTINEZ|ALCALDE (SA)|undefined|undefined|ELECTO
MARCO ANTONIO MAMANI QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
PROOFEL HUAYLLA ARTEAGA|ALCALDE (SA)|undefined|undefined|ELECTO
SIMON MAMANI CHOQUE|ALCALDE (SA)|undefined|undefined|ELECTO
SILVERIO DONAIRE OJEDA|ALCALDE (SA)|undefined|undefined|ELECTO
HUBER ORLANDO QUISPE VELIZ|ALCALDE (SA)|undefined|undefined|ELECTO
JUAQUIN MILTON CHIRI YANQUI|ALCALDE (SA)|undefined|undefined|ELECTO
JESUS REYNALDO GUZMAN ORTEGA|ALCALDE (SA)|undefined|undefined|ELECTO
MARTIN MAMANI ZOTAR|ALCALDE (SA)|undefined|undefined|ELECTO
CLEMENCIO CHINAHUANCA HUANCA|ALCALDE (SA)|undefined|undefined|ELECTO
ROBERTO SANCHEZ MORALES|ALCALDE (SA)|undefined|undefined|ELECTO
CESAR ALI LUPA|ALCALDE (SA)|undefined|undefined|ELECTO
CASTO ALFONSIN CONDORI QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN NAVIA LLANOS|ALCALDE (SA)|undefined|undefined|ELECTO
RONALD JUVENCIO CALCINA CRUZ|ALCALDE (SA)|undefined|undefined|ELECTO
ALEJANDRIA VACAFLOR FLORES|ALCALDE (SA)|undefined|undefined|ELECTO
OMAR ROSALES GARZON|ALCALDE (SA)|undefined|undefined|ELECTO
ANA MENDOZA AGUILERA|ALCALDE (SA)|undefined|undefined|ELECTO
JOEL ONTIVEROS ROJAS|ALCALDE (SA)|undefined|undefined|ELECTO
HAGAPITO CASTRO VACA|ALCALDE (SA)|undefined|undefined|ELECTO
EUSTAQUIO CASILLA FERMIN|ALCALDE (SA)|undefined|undefined|ELECTO
LEONARDO LUIS CHAMBY MONTOYA|ALCALDE (SA)|undefined|undefined|ELECTO
TEODORO GONZALEZ SAUCEDO|ALCALDE (SA)|undefined|undefined|ELECTO
OSCAR CINKO YAPU|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN CARLOS VALLES MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN CARLOS MONTAÑO ARIAS|ALCALDE (SA)|undefined|undefined|ELECTO
JHONNY  VOCAL ANDRADE|ALCALDE (SA)|undefined|undefined|ELECTO
WILLY  CALDERON COCA|ALCALDE (SA)|undefined|undefined|ELECTO
GERMAN SANCHEZ PADILLA|ALCALDE (SA)|undefined|undefined|ELECTO
RAMIRO BARTOLOME ESCALANTE CALA|ALCALDE (SA)|undefined|undefined|ELECTO
RIMBER BARRON REYNA|ALCALDE (SA)|undefined|undefined|ELECTO
JAIME VALVERDE DELGADILLO|ALCALDE (SA)|undefined|undefined|ELECTO
OVIDIO TERRAZAS ROJAS|ALCALDE (SA)|undefined|undefined|ELECTO
ADHEMAR CARVAJAL RUIZ|ALCALDE (SA)|undefined|undefined|ELECTO
MARCIAL YUCRA MENDO|ALCALDE (SA)|undefined|undefined|ELECTO
JAVIER NOGALES JAIME|ALCALDE (SA)|undefined|undefined|ELECTO
JULIO LIMBERTH ROJAS TAPIA|ALCALDE (SA)|undefined|undefined|ELECTO
MARCELO VILLAGRA QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
CARMELO MELENDRES ROJAS|ALCALDE (SA)|undefined|undefined|ELECTO
RUBEN DARIO MERCADO SUAREZ|ALCALDE (SA)|undefined|undefined|ELECTO
ROBERTO ANDRADE LIMON|ALCALDE (SA)|undefined|undefined|ELECTO
HUMBERTO TANGARA APAZA|ALCALDE (SA)|undefined|undefined|ELECTO
SALVADOR TORREJON OROPEZA|ALCALDE (SA)|undefined|undefined|ELECTO
MAX JHONNY FERNANDEZ SAUCEDO|ALCALDE (SA)|undefined|undefined|ELECTO
MAX CHALLAPA CHOQUE|ALCALDE (SA)|undefined|undefined|ELECTO
ISMAEL PEREZ ATORA|ALCALDE (SA)|undefined|undefined|ELECTO
HECTOR   CARTAGENA   CHACON|ALCALDE (SA)|undefined|undefined|ELECTO
VICENTE CHOQUEHUANCA MULLISACA|ALCALDE (SA)|undefined|undefined|ELECTO
VIDAL EDWIN CUSSI GUARACHI|ALCALDE (SA)|undefined|undefined|ELECTO
FAUSTO GARCIA LOPEZ|ALCALDE (SA)|undefined|undefined|ELECTO
SIMON RODRIGUEZ MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
MARBIN BARBERY CESPEDES|ALCALDE (SA)|undefined|undefined|ELECTO
JIMMY CARLOS HURTADO SANDOVAL|ALCALDE (SA)|undefined|undefined|ELECTO
JOSE EDUARDO DIAZ RUIZ|ALCALDE (SA)|undefined|undefined|ELECTO
ARIEL RODRIGO   MALDONADO   ALMENDRAS|ALCALDE (SA)|undefined|undefined|ELECTO
CIRIACO RODRIGUEZ VASQUEZ|ALCALDE (SA)|undefined|undefined|ELECTO
DIONICIO LUCIANO MARCONI QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
ORLANDO DANIEL LOPEZ POMA|ALCALDE (SA)|undefined|undefined|ELECTO
FERNANDO VERA CHAMBI|ALCALDE (SA)|undefined|undefined|ELECTO
EVERTY  ORIHUELA MERCADO|ALCALDE (SA)|undefined|undefined|ELECTO
JORGE DONNY CHAVEZ SUAREZ|ALCALDE (SA)|undefined|undefined|ELECTO
DARWIN  PERROGON RODRIGUEZ|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN CARLOS ABULARACH SUAREZ|ALCALDE (SA)|undefined|undefined|ELECTO
WALTER RONAL TOVIAS SIMON|ALCALDE (SA)|undefined|undefined|ELECTO
ZENON YUCRA CHECA|ALCALDE (SA)|undefined|undefined|ELECTO
VICTOR PAUCAR PORCO|ALCALDE (SA)|undefined|undefined|ELECTO
CARLOS RUDDY DORADO FLORES|ALCALDE (SA)|undefined|undefined|ELECTO
DENNY CARLOS VELARDE VILLARROEL|ALCALDE (SA)|undefined|undefined|ELECTO
HECTOR CONTRERAS ALVAREZ|ALCALDE (SA)|undefined|undefined|ELECTO
RAUL GONZALO ALVIS CLAUDIO|ALCALDE (SA)|undefined|undefined|ELECTO
MAURICIO VIERA CANIDO|ALCALDE (SA)|undefined|undefined|ELECTO
HUMBERTO JORGE VARGAS ROCA|ALCALDE (SA)|undefined|undefined|ELECTO
MAURICIO MONTERO YORGE|ALCALDE (SA)|undefined|undefined|ELECTO
ANGEL SUMAMI PARAPAINO|ALCALDE (SA)|undefined|undefined|ELECTO
REGYS MEDINA PAZ|ALCALDE (SA)|undefined|undefined|ELECTO
FERDDY SHARVEL ESCOBAR REVOLLO|ALCALDE (SA)|undefined|undefined|ELECTO
FRANCISCO YUJRA APAZA|ALCALDE (SA)|undefined|undefined|ELECTO
JOHNNY QUISPE CACERES|ALCALDE (SA)|undefined|undefined|ELECTO
ELOY SANTANDER LOAYZA|ALCALDE (SA)|undefined|undefined|ELECTO
CONSTANCIO GUTIERREZ CATACORA|ALCALDE (SA)|undefined|undefined|ELECTO
TEOFILO CHOQUEVILLCA TITO|ALCALDE (SA)|undefined|undefined|ELECTO
RAMIRO HUGO CHAMBI POMACAHUA|ALCALDE (SA)|undefined|undefined|ELECTO
ELEUTERIO MARAZA QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
EMILIO MALDONADO FLORES|ALCALDE (SA)|undefined|undefined|ELECTO
ANA LUCIA REIS  MELENA|ALCALDE (SA)|undefined|undefined|ELECTO
GRESLY JUSTINIANO  DURAN|ALCALDE (SA)|undefined|undefined|ELECTO
CRISTHIAN MIGUEL CAMARA ARRATIA|ALCALDE (SA)|undefined|undefined|ELECTO
DORFIO MANSILLA AVENDAÑO|ALCALDE (SA)|undefined|undefined|ELECTO
ARIEL SILES CESPEDES|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN LIMBERTH    ANDIA |ALCALDE (SA)|undefined|undefined|ELECTO
EVER COLQUE YUCRA|ALCALDE (SA)|undefined|undefined|ELECTO
ROCIO ROCA ROCA|ALCALDE (SA)|undefined|undefined|ELECTO
MERCEDES MOLINA VASQUEZ|ALCALDE (SA)|undefined|undefined|ELECTO
DAVID ANZALDO ANZALDO|ALCALDE (SA)|undefined|undefined|ELECTO
JOSE NELSON  GALLINATE  TORRICO|ALCALDE (SA)|undefined|undefined|ELECTO
PABLO EDDIE GUARISTI PEREDO|ALCALDE (SA)|undefined|undefined|ELECTO
CELVY ORELLANA COSTA|ALCALDE (SA)|undefined|undefined|ELECTO
ELIAS MORENO VARGAS|ALCALDE (SA)|undefined|undefined|ELECTO
RULLY CIRO JIMENEZ DELBOY|ALCALDE (SA)|undefined|undefined|ELECTO
GERMAN ROMEO HERRERA BARJA|ALCALDE (SA)|undefined|undefined|ELECTO
CONSTANCIO SALAZAR PADILLA|ALCALDE (SA)|undefined|undefined|ELECTO
OSCAR GONZALO SALAZAR VILLARROEL|ALCALDE (SA)|undefined|undefined|ELECTO
CARMEN AIDA AGUILERA SUAREZ|ALCALDE (SA)|undefined|undefined|ELECTO
CRISTIAN ROBERTO VELASCO AÑEZ|ALCALDE (SA)|undefined|undefined|ELECTO
MANFRED ARMANDO ANTONIO   REYES VILLA   BACIGALUPI|ALCALDE (SA)|undefined|undefined|ELECTO
