ine_code,muni_name,department,qid,file,category,outcome
090503,Santos Mercado,Pando,Q198359,"Flag of Santos Mercado, Bolivia.svg",Flags of municipalities of Bolivia,added
051302,Acasio,Potosí,Q1477964,"Flag of Acasio, Bolivia.svg",Flags of municipalities of Bolivia,added
051301,Arampampa,Potosí,Q1477973,"Flag of Arampampa, Bolivia.svg",Flags of municipalities of Bolivia,added
050802,Atocha,Potosí,Q1477927,Colores bandera Atocheña.svg,Flags of municipalities of Bolivia,added
050301,Betanzos,Potosí,Q1477951,"Flag of Betanzos, Bolivia.svg",Flags of municipalities of Bolivia,added
051102,Caiza D,Potosí,Q637609,"Flag of Caiza D, Bolivia.svg",Flags of municipalities of Bolivia,added
050702,Caripuyo,Potosí,Q1477999,"Flag of Caripuyo, Bolivia.svg",Flags of municipalities of Bolivia,added
050302,Chaquí,Potosí,Q637599,"Flag of Chaquí, Bolivia.svg",Flags of municipalities of Bolivia,added
051203,Porco,Potosí,Q628665,"Flag of Porco, Bolivia.svg",Flags of municipalities of Bolivia,added
050402,Ravelo,Potosí,Q1477747,"Flag of Ravelo, Bolivia.svg",Flags of municipalities of Bolivia,added
050701,Sacaca,Potosí,Q1477919,Flag of Potosí.svg,Flags of municipalities of Bolivia,added
051001,San Pablo de Lípez,Potosí,Q1477898,"Flag of San Pablo de Lípez, Bolivia.svg",Flags of municipalities of Bolivia,added
050501,San Pedro de Buena Vista,Potosí,Q624522,Colores bandera Atocheña.svg,Flags of municipalities of Bolivia,skipped
050405,San Pedro de Macha,Potosí,Q106409795,"Flag of San Pedro de Macha, Bolivia.svg",Flags of municipalities of Bolivia,added
050303,Tacobamba,Potosí,Q637620,"Flag of Tacobamba, Bolivia.svg",Flags of municipalities of Bolivia,added
050102,Tinguipaya,Potosí,Q1477957,"Flag of Tinguipaya, Bolivia.svg",Flags of municipalities of Bolivia,added
051202,Tomave,Potosí,Q1477902,"Flag of Tomave, Bolivia.svg",Flags of municipalities of Bolivia,added
050502,Toro Toro,Potosí,Q624520,"Flag of Torotoro, Bolivia.svg",Flags of municipalities of Bolivia,added
050602,Vitichi,Potosí,Q1533308,"Flag of Vitichi, Bolivia.svg",Flags of municipalities of Bolivia,added
050103,Yocalla,Potosí,Q1477980,"Flag of Yocalla, Bolivia.svg",Flags of municipalities of Bolivia,added
070707,Boyuibe,Santa Cruz,Q515092,"Flag of Boyuibe, Bolivia.svg",Flags of municipalities of Bolivia,added
070703,Cabezas,Santa Cruz,Q1024796,"Flag of Cabezas, Bolivia.svg",Flags of municipalities of Bolivia,added
070702,Charagua,Santa Cruz,Q598031,"Flag of Charagua Iyambae, Bolivia.svg",Flags of municipalities of Bolivia,added
071503,El Puente,Santa Cruz,Q1108311,"Flag of El Puente, Guarayos, Bolivia.svg",Flags of municipalities of Bolivia,added
070802,El Trigal,Santa Cruz,Q542442,"Flag of El Trigal, Bolivia.svg",Flags of municipalities of Bolivia,added
071004,Fernández Alonso,Santa Cruz,Q371664,"Flag of Fernández Alonso, Bolivia.svg",Flags of municipalities of Bolivia,added
070803,Moro Moro,Santa Cruz,Q1107963,"Flag of Moro Moro, Bolivia.svg",Flags of municipalities of Bolivia,added
070804,Postrervalle,Santa Cruz,Q918680,"Flag of Postrervalle, Bolivia.svg",Flags of municipalities of Bolivia,added
071302,Saipina,Santa Cruz,Q1108162,"Flag of Saipina, Bolivia.svg",Flags of municipalities of Bolivia,added
071105,San Antonio de Lomerío,Santa Cruz,Q1108298,"Flag of San Antonio de Lomerío, Bolivia.svg",Flags of municipalities of Bolivia,added
071102,San Javier,Santa Cruz,Q1531880,"Flag of San Javier, Ñuflo de Chaves, Bolivia.svg",Flags of municipalities of Bolivia,added
070302,San Miguel de Velasco,Santa Cruz,Q1486932,"Flag of San Miguel de Velasco, Bolivia.svg",Flags of municipalities of Bolivia,added
071005,San Pedro,Santa Cruz,Q668846,"Flag of San Pedro, Santistevan, Bolivia.svg",Flags of municipalities of Bolivia,added
070303,San Rafael de Velasco,Santa Cruz,Q1108286,"Flag of San Rafael de Velasco, Bolivia.svg",Flags of municipalities of Bolivia,added
071103,San Ramón,Santa Cruz,Q1108183,"Flag of San Ramón, Ñuflo de Chaves, Bolivia.svg",Flags of municipalities of Bolivia,added
070602,Santa Rosa del Sara,Santa Cruz,Q1108258,"Flag of Santa Rosa del Sara, Bolivia.svg",Flags of municipalities of Bolivia,added
060303,Villa Montes,Tarija,Q328298,"Flag of Villa Montes, Bolivia.svg",Flags of municipalities of Bolivia,added
010102,Yotala,Chuquisaca,Q1142025,Escudo yotala.jpg,Coats of arms of municipalities of Bolivia,added
050701,Sacaca,Potosí,Q1477919,Escudo de Potosí.svg,Coats of arms of municipalities of Bolivia,added
