"facility_id","canonical_id","canonical_name","canonical_city","canonical_state","facility_name","facility_city","facility_state"
294,295,"Pike County Jail","Lords Valley","PA","Pike County Correctional Facility","Lords Valley","PA"
295,295,"Pike County Jail","Lords Valley","PA","Pike County Jail","Lords Valley","PA"
296,296,"Pine Prairie ICE Processing Center","Pine Prairie","LA","Pine Prairie ICE Processing Center","Pine Prairie","LA"
297,297,"Pinellas County Jail","Clearwater","FL","Pinellas County Jail","Clearwater","FL"
298,298,"Platte County Detention Center","Platte City","MO","Platte County Detention Center","Platte City","MO"
299,299,"Platte County Jail","Wheatland","WY","Platte County Jail","Wheatland","WY"
300,300,"Plymouth County Correctional Facility","Plymouth","MA","Plymouth County Correctional Facility","Plymouth","MA"
301,301,"Polk County Jail","Des Moines","IA","Polk County Jail","Des Moines","IA"
302,317,"Port Isabel Detention Center","Los Fresnos","TX","Port Isabel","Los Fresnos","TX"
303,317,"Port Isabel Detention Center","Los Fresnos","TX","Port Isabel Detention Center","Los Fresnos","TX"
304,304,"Pottawattamie County Jail","Council Bluffs","IA","Pottawattamie County Jail","Council Bluffs","IA"
305,306,"Prairieland Detention Center","Alvarado","TX","Prairieland Detention Center","Alvarado","TX"
306,306,"Prairieland Detention Center","Alvarado","TX","Prairieland Detention Facility","Alvarado","TX"
307,307,"Farmville Detention Center","Farmville","VA","Prince Edward County (Farmville)","Farmville","VA"
308,308,"Pulaski County Jail","Ullin","IL","Pulaski County Jail","Ullin","IL"
309,309,"Putnam County Sheriff","Cookeville","TN","Putnam County Sheriff","Cookeville","TN"
310,310,"Randall County Jail","Amarillo","TX","Randall County Jail","Amarillo","TX"
311,311,"Red Roof Inn","Seatac","WA","Red Roof Inn","Seatac","WA"
312,312,"Rensselaer County Correctional Facility","Troy","NY","Rensselaer County Correctional Facility","Troy","NY"
313,314,"Richwood Correctional Center","Monroe","LA","Richwood Correctional Center","Monroe","LA"
314,314,"Richwood Correctional Center","Monroe","LA","Richwood Correctional Center","Richwood","LA"
315,315,"Rio Grande County Jail","Del Norte","CO","Rio Grande County Jail","Del Norte","CO"
316,316,"Rio Grande Detention Center","Laredo","TX","Rio Grande Detention Center","Laredo","TX"
317,317,"Port Isabel Detention Center","Los Fresnos","TX","Rio Grande Valley Staging","Los Fresnos","TX"
318,318,"River Correctional Center","Ferriday","LA","River Correctional Center","Ferriday","LA"
319,319,"Riverside County Sheriff","Riverside","CA","Riverside County Sheriff","Riverside","CA"
320,320,"Riverside Regional Jail","Hopewell","VA","Riverside Regional Jail","Hopewell","VA"
321,321,"Roanoke City Jail","Roanoke","VA","Roanoke City Jail","Roanoke","VA"
322,322,"Robert A. Deyton Detention Center","Lovejoy","GA","Robert A. Deyton Detention Center","Lovejoy","GA"
323,323,"Robert A. Deyton Detention Facility","Lovejoy","GA","Robert A. Deyton Detention Facility","Lovejoy","GA"
324,324,"Rockingham County Jail","Harrisonburg","VA","Rockingham County Jail","Harrisonburg","VA"
325,325,"Rolling Plains Detention Center","Haskell","TX","Rolling Plains Detention Center","Haskell","TX"
326,350,"St. Clair County Jail","Port Huron","MI","Saint Clair County Jail","Port Huron","MI"
327,327,"Saint Tammany Parish Jail","Covington","LA","Saint Tammany Parish Jail","Covington","LA"
328,328,"Saipan Department of Corrections (Susupe)","Saipan","MP","Saipan Department of Corrections (Susupe)","Saipan","MP"
329,329,"Saline County Jail","Wilber","NE","Saline County Jail","Wilber","NE"
330,330,"Salt Lake County Metro Jail","Salt Lake City","UT","Salt Lake County Metro Jail","Salt Lake City","UT"
331,331,"San Diego District Staging","San Diego","CA","San Diego District Staging","San Diego","CA"
332,332,"San Juan Staging","Guaynabo","PR","San Juan Staging","Guaynabo","PR"
333,333,"San Luis Regional Detention Center","San Luis","AZ","San Luis Regional Detention Center","San Luis","AZ"
334,334,"Sarpy County Jail","Papillion","NE","Sarpy County Jail","Papillion","NE"
335,335,"Sauk County Sheriff","Baraboo","WI","Sauk County Sheriff","Baraboo","WI"
336,336,"Sebastian County Detention Center","Fort Smith","AR","Sebastian County Detention Center","Fort Smith","AR"
337,337,"Seneca County Jail","Tiffin","OH","Seneca County Jail","Tiffin","OH"
338,338,"Shawnee County Department of Corrections","Topeka","KS","Shawnee County Department of Corrections","Topeka","KS"
339,339,"Sherburne County Jail","Elk River","MN","Sherburne County Jail","Elk River","MN"
340,340,"Sioux County Jail","Orange City","IA","Sioux County Jail","Orange City","IA"
341,341,"South Central Regional Jail","Charleston","WV","South Central Regional Jail","Charleston","WV"
342,343,"South Louisiana ICE Processing Center","Basile","LA","South Louisiana Detention Center","Basile","LA"
343,343,"South Louisiana ICE Processing Center","Basile","LA","South Louisiana ICE Processing Center","Basile","LA"
344,370,"Dilley Immigration Processing Center","Dilley","TX","South Texas Fam Residential Center","Dilley","TX"
345,345,"South Texas Family Residential Center","Dilley","TX","South Texas Family Residential Center","Dilley","TX"
346,370,"Dilley Immigration Processing Center","Dilley","TX","South Texas Family Residential Center3","Dilley","TX"
347,347,"South Texas ICE Processing Center","Pearsall","TX","South Texas ICE Processing Center","Pearsall","TX"
348,348,"Southern Regional","Beaver","WV","Southern Regional","Beaver","WV"
349,349,"Southwestern Regional Jail","Holden","WV","Southwestern Regional Jail","Holden","WV"
350,350,"St. Clair County Jail","Port Huron","MI","St. Clair County Jail","Port Huron","MI"
351,351,"Ste. Genevieve County Sheriff/Jail","Ste. Genevieve","MO","Ste. Genevieve County Sheriff/Jail","Ste. Genevieve","MO"
352,352,"Stewart Detention Center","Lumpkin","GA","Stewart Detention Center","Lumpkin","GA"
353,353,"Story County Jail","Nevada","IA","Story County Jail","Nevada","IA"
354,354,"Strafford County Corrections","Dover","NH","Strafford County Corrections","Dover","NH"
355,355,"Suffolk County House of Corrections","Boston","MA","Suffolk County House of Corrections","Boston","MA"
356,356,"Suites On Scottsdale-Casa De Alegría","Scottsdale","AZ","Suites On Scottsdale-Casa De Alegría","Scottsdale","AZ"
357,357,"Sunny Glen Cld Home Ndr Center","Raymondville","TX","Sunny Glen Cld Home Ndr Center","Raymondville","TX"
358,358,"Sweetwater County Jail","Rock Springs","WY","Sweetwater County Jail","Rock Springs","WY"
359,360,"T. Don Hutto Detention Center","Taylor","TX","T Don Hutto Residential Center","Taylor","TX"
360,360,"T. Don Hutto Detention Center","Taylor","TX","T. Don Hutto Detention Center","Taylor","TX"
361,361,"Northwest ICE Processing Center","Tacoma","WA","Tacoma ICE Processing Center (Northwest Detention Center)","Tacoma","WA"
362,362,"Tallahatchie County Correctional Facility","Tutwiler","MS","Tallahatchie County Correctional Facility","Tutwiler","MS"
363,363,"Teller County Jail","Divide","CO","Teller County Jail","Divide","CO"
364,364,"Tex Health Huguley Hosp","Burleson","TX","Tex Health Huguley Hosp","Burleson","TX"
365,365,"Theo Lacy Facility","Orange","CA","Theo Lacy Facility","Orange","CA"
366,366,"Tooele County Jail","Tooele","UT","Tooele County Jail","Tooele","UT"
367,367,"Tornillo-Guadalupe Poe","Tornillo","TX","Tornillo-Guadalupe Poe","Tornillo","TX"
368,368,"Torrance County Detention Facility","Estancia","NM","Torrance County Detention Facility","Estancia","NM"
369,369,"Trusted Adult Karnes Fsc","San Antonio","TX","Trusted Adult Karnes Fsc","San Antonio","TX"
370,370,"Dilley Immigration Processing Center","Dilley","TX","Trusted Adult South Tex Dilley Fsc","Dilley","TX"
371,371,"Tulsa County Jail (David L. Moss Justice Center)","Tulsa","OK","Tulsa County Jail (David L. Moss Justice Center)","Tulsa","OK"
372,372,"Turner Guilford Knight (TGK) Jail","Miami","FL","Turner Guilford Knight (TGK) Jail","Miami","FL"
373,373,"Two Bridges Regional Jail","Wiscasset","ME","Two Bridges Regional Jail","Wiscasset","ME"
374,374,"Uinta County Jail","Evanston","WY","Uinta County Jail","Evanston","WY"
375,375,"Val Verde Correctional Facility","Del Rio","TX","Val Verde Correctional Facility","Del Rio","TX"
376,376,"Victoria County Jail","Victoria","TX","Victoria County Jail","Victoria","TX"
377,377,"Virginia Peninsula Regional Jail","Williamsburg","VA","Virginia Peninsula Regional Jail","Williamsburg","VA"
378,378,"Wake County Sheriff Department","Raleigh","NC","Wake County Sheriff Department","Raleigh","NC"
379,379,"Wakulla County Jail","Crawfordville","FL","Wakulla County Jail","Crawfordville","FL"
380,380,"Walton County Jail","Defuniak Springs","FL","Walton County Jail","Defuniak Springs","FL"
381,381,"Ward County Jail","Minot","ND","Ward County Jail","Minot","ND"
382,382,"Washington County Detention Center","Fayetteville","AR","Washington County Detention Center","Fayetteville","AR"
383,384,"Washington County Jail (Purgatory Correctional Facility)","Hurricane","UT","Washington County Jail (Purgatory Correctional Facility","Hurricane","UT"
384,384,"Washington County Jail (Purgatory Correctional Facility)","Hurricane","UT","Washington County Jail (Purgatory Correctional Facility)","Hurricane","UT"
385,385,"Washoe County Jail","Reno","NV","Washoe County Jail","Reno","NV"
386,386,"Waukesha County Jail","Waukesha","WI","Waukesha County Jail","Waukesha","WI"
387,387,"Webb County Detention Center (CCA)","Laredo","TX","Webb County Detention Center (CCA)","Laredo","TX"
388,388,"Weber County Jail","Ogden","UT","Weber County Jail","Ogden","UT"
389,389,"West Texas Detention Facility","Sierra Blanca","TX","West Texas Detention Facility","Sierra Blanca","TX"
390,390,"Western Regional Jail And Correctional Facility","Barboursville","WV","Western Regional Jail And Correctional Facility","Barboursville","WV"
391,391,"Western Tennessee Detention Facility","Mason","TN","Western Tennessee Detention Facility","Mason","TN"
392,392,"Western Virginia Regional Jail","Salem","VA","Western Virginia Regional Jail","Salem","VA"
393,393,"Whitfield County Jail","Dalton","GA","Whitfield County Jail","Dalton","GA"
394,394,"Wingate-Wyndham Casa Esperanza","Yuma","AZ","Wingate-Wyndham Casa Esperanza","Yuma","AZ"
395,395,"Winn Correctional Center","Winnfield","LA","Winn Correctional Center","Winnfield","LA"
396,396,"Woodbury County Jail","Sioux City","IA","Woodbury County Jail","Sioux City","IA"
397,397,"Worcester County Jail","Snow Hill","MD","Worcester County Jail","Snow Hill","MD"
398,398,"Wyatt Detention Center","Central Falls","RI","Wyatt Detention Center","Central Falls","RI"
399,399,"Yakima County Department of Corrections","Yakima","WA","Yakima County Department of Corrections","Yakima","WA"
400,400,"Yankton County Jail","Yankton","SD","Yankton County Jail","Yankton","SD"
401,401,"York County Prison","York","PA","York County Prison","York","PA"
402,402,"Yuba County Jail","Marysville","CA","Yuba County Jail","Marysville","CA"
403,403,"[1] (Bcorcpa) Berks County Residential Center Houses Single Adults And No Longer House Family Units As of 11/27/21.",NA,NA,"[1] (Bcorcpa) Berks County Residential Center Houses Single Adults And No Longer House Family Units As of 11/27/21.",NA,NA
404,404,"[1] (Stfrctx) South Texas Family Residential Center Houses Single Adults And No Longer House Family Units As of 12/11/21.",NA,NA,"[1] (Stfrctx) South Texas Family Residential Center Houses Single Adults And No Longer House Family Units As of 12/11/21.",NA,NA
405,405,"[2] (Krnrctx) Karnes County Immigration Processing Center Houses Single Adults And No Longer House Family Units As of 11/10/21.",NA,NA,"[2] (Krnrctx) Karnes County Immigration Processing Center Houses Single Adults And No Longer House Family Units As of 11/10/21.",NA,NA
406,406,"[2] (Krnrctx) Karnes County Residential Center Houses Single Adults And No Longer House Family Units As of 11/10/21.",NA,NA,"[2] (Krnrctx) Karnes County Residential Center Houses Single Adults And No Longer House Family Units As of 11/10/21.",NA,NA
407,407,"[3] (Stfrctx) South Texas Family Residential Center Houses Single Adults And No Longer House Family Units As of 12/11/21.",NA,NA,"[3] (Stfrctx) South Texas Family Residential Center Houses Single Adults And No Longer House Family Units As of 12/11/21.",NA,NA
408,408,NA,NA,NA,NA,NA,NA
