mesa_code,mesa_number,registered,country_code,country_name,dept_code,dept_name,prov_code,prov_name,mun_code,mun_name,localidad_code,localidad_name,recinto_code,recinto_name,AP,LyP_ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,UNIDAD,PDC,valid_votes,blank_votes,null_votes,votes_cast
100614,6,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,15,0,5,8,7,5,4,23,67,7,51,125
100624,7,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,19,0,6,12,2,3,5,25,72,3,45,120
100634,8,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,14,1,8,16,5,2,11,21,78,3,51,132
100644,9,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,12,2,9,11,8,2,7,24,75,1,39,115
100654,10,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,18,1,7,6,1,2,11,31,77,7,50,134
100664,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,23,1,9,12,2,5,11,32,95,4,49,148
100674,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,26,0,15,13,5,2,4,24,89,5,42,136
100684,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,22,1,10,8,3,7,5,31,87,2,50,139
100694,4,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,15,1,8,13,5,3,6,25,76,3,50,129
100704,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,20,1,9,19,3,5,3,17,77,7,27,111
100714,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,15,0,4,8,2,2,3,20,54,2,42,98
100724,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,15,1,4,13,0,3,7,17,60,6,36,102
