"municipality","department","muni_anexo","file","size_kb"
"Irupana","La Paz","Irupana","output/locator_maps/workbench_hd_3/Irupana_muni_locator_map.svg",7515.8
"Ixiamas","La Paz","Ixiamas","output/locator_maps/workbench_hd_3/Ixiamas_muni_locator_map.svg",7521.9
"Jesús de Machaka","La Paz","Jesús de Machaca","output/locator_maps/workbench_hd_3/Jesus_de_Machaca_muni_locator_map.svg",7515.1
"La (Marka) San Andrés de Machaca","La Paz","San Andrés de Machaca","output/locator_maps/workbench_hd_3/San_Andres_de_Machaca_muni_locator_map.svg",7515.1
"La Asunta","La Paz","La Asunta","output/locator_maps/workbench_hd_3/La_Asunta_muni_locator_map.svg",7515.8
"Laja","La Paz","Laja","output/locator_maps/workbench_hd_3/Laja_muni_locator_map.svg",7514.9
"Luribay","La Paz","Luribay","output/locator_maps/workbench_hd_3/Luribay_muni_locator_map.svg",7515.2
"Malla","La Paz","Malla","output/locator_maps/workbench_hd_3/Malla_muni_locator_map.svg",7514.8
"Mapiri","La Paz","Mapiri","output/locator_maps/workbench_hd_3/Mapiri_muni_locator_map.svg",7515.7
"Mecapaca","La Paz","Mecapaca","output/locator_maps/workbench_hd_3/Mecapaca_muni_locator_map.svg",7515
"Mocomoco","La Paz","Mocomoco","output/locator_maps/workbench_hd_3/Mocomoco_muni_locator_map.svg",7515.1
"Nazacara de Pacajes","La Paz","Nazacara de Pacajes","output/locator_maps/workbench_hd_3/Nazacara_de_Pacajes_muni_locator_map.svg",7514.2
"Nuestra Señora de La Paz","La Paz","La Paz","output/locator_maps/workbench_hd_3/La_Paz_muni_locator_map.svg",7516.2
"Palca","La Paz","Palca","output/locator_maps/workbench_hd_3/Palca_muni_locator_map.svg",7515.3
"Palos Blancos","La Paz","Palos Blancos","output/locator_maps/workbench_hd_3/Palos_Blancos_muni_locator_map.svg",7517.1
"Papel Pampa","La Paz","Papel Pampa","output/locator_maps/workbench_hd_3/Papel_Pampa_muni_locator_map.svg",7514.9
"Patacamaya","La Paz","Patacamaya","output/locator_maps/workbench_hd_3/Patacamaya_muni_locator_map.svg",7514.9
"Pelechuco","La Paz","Pelechuco","output/locator_maps/workbench_hd_3/Pelechuco_muni_locator_map.svg",7515.9
"Pucarani","La Paz","Pucarani","output/locator_maps/workbench_hd_3/Pucarani_muni_locator_map.svg",7515.6
